user_id,thinklet_id,problem_id,assignment_name,duration,phase,time so far,event,action,answer,time
168382,216216,9889,"Money, Money, Money",,Start,,Create Thinklet,,,2021-04-20 21:36:03.230000+00:00
168382,216216,9889,"Money, Money, Money",,Understand,,known,Entered,I notice that it is saying deposit that take away,
168382,216216,9889,"Money, Money, Money",,Understand,,wondering,Entered,i wonder if we are going to divide,
168382,216216,9889,"Money, Money, Money",,Understand,,Estimate,Entered,i think its -55,2021-04-21 20:52:03.909000+00:00
168382,216216,9889,"Money, Money, Money",,Plan,,strategies,Selected,MAKE_A_TABLE,
168382,216216,9889,"Money, Money, Money",,Plan,,strategies,Selected,MODEL_IT_WITH_MANIPULATIVES,
168382,216216,9889,"Money, Money, Money",,Plan,,strategies,Selected,Use multiplication rules & relationships,
168382,216216,9889,"Money, Money, Money",,Plan,,write down the plan,Entered,"1.A table for deposits(how much) I saved and a table for with drafts(how much I spent).this will simplify my problem to just 2 numbers
2.take the total from my withdraws and add it to the total from my deposit 
3.my leftover amount will be my answer.",2021-04-21 21:03:25.561000+00:00
168382,216216,9889,"Money, Money, Money",0 days 00:16:44.439000000,Solve,0 days 00:16:44.439000000,Start Record,-,,2021-04-21 21:20:10+00:00
168382,216216,9889,"Money, Money, Money",0 days 00:00:13.000000000,Solve,0 days 00:16:57.439000000,Audio Recording Started,-,,2021-04-21 21:20:23+00:00
168382,216216,9889,"Money, Money, Money",0 days 00:00:50.000000000,Solve,0 days 00:17:47.439000000,Stop Record,-,,2021-04-21 21:21:13+00:00
168382,216216,9889,"Money, Money, Money",0 days 00:00:00.000000000,Solve,0 days 00:17:47.439000000,Audio Recording Stopped,-,,2021-04-21 21:21:13+00:00
168382,216216,9889,"Money, Money, Money",0 days 00:00:00.000000000,Solve,0 days 00:17:47.439000000,Audio Data Available,-,,2021-04-21 21:21:13+00:00
168382,216216,9889,"Money, Money, Money",,Review,0 days 00:17:47.439000000,Final Answer,Entered,My finnal Ansewr is 188.00,
168382,216216,9889,"Money, Money, Money",,End,0 days 00:17:47.439000000,Complete Thinklet,,,2021-04-21 21:24:28.957000+00:00
