user_id,thinklet_id,problem_id,assignment_name,duration,phase,time so far,event,action,answer,time
168366,217948,9939,Spending Allowance,,Start,,Create Thinklet,,,2021-04-29 20:46:11.170000+00:00
168366,217948,9939,Spending Allowance,,Understand,,known,Entered,has $20,
168366,217948,9939,Spending Allowance,,Understand,,known,Entered,bought 3 bags,
168366,217948,9939,Spending Allowance,,Understand,,known,Entered,Takis for $2 each,
168366,217948,9939,Spending Allowance,,Understand,,known,Entered,gatorade for $5,
168366,217948,9939,Spending Allowance,,Understand,,known,Entered,pack of gum for $1,
168366,217948,9939,Spending Allowance,,Understand,,known,Entered,earned $8 for walking his neighbor's dog,
168366,217948,9939,Spending Allowance,,Understand,,known,Entered,total amount of money he lost or gained,
168366,217948,9939,Spending Allowance,,Understand,,wondering,Entered,I wonder why if he is going to go dept cause hes wasting his money on chips.,
168366,217948,9939,Spending Allowance,,Understand,,Estimate,Entered,where did he get the 20$ from?,2021-04-29 20:58:32.915000+00:00
168366,217948,9939,Spending Allowance,,Plan,,strategies,Selected,"Guess, check, & revise",
168366,217948,9939,Spending Allowance,,Plan,,strategies,Selected,Use direction arrows when adding and subtracting,
168366,217948,9939,Spending Allowance,,Plan,,write down the plan,Entered,"First, I will Multiply 3 and 2, and Then, I will subtract 20 and the answer I got for Multiplying 3 and 2 and then I will add 5 and then the answer I got for subtracting  20 and the answer I got from 2 and 3 and then then I will then subtract 1 and the answer I got from subtracting five and then finally I will add 1 and the answer I got from subtracting 1.",2021-04-29 21:20:19.370000+00:00
168366,217948,9939,Spending Allowance,0 days 00:00:51.630000000,Solve,0 days 00:00:51.630000000,Start Record,-,,2021-04-29 21:21:11+00:00
168366,217948,9939,Spending Allowance,0 days 00:00:00.000000000,Solve,0 days 00:00:51.630000000,Audio Recording Started,-,,2021-04-29 21:21:11+00:00
168366,217948,9939,Spending Allowance,0 days 00:00:04.000000000,Solve,0 days 00:00:55.630000000,Audio Recording Paused,-,,2021-04-29 21:21:15+00:00
168366,217948,9939,Spending Allowance,0 days 00:00:00.000000000,Solve,0 days 00:00:55.630000000,Pause Record,-,,2021-04-29 21:21:15+00:00
168366,217948,9939,Spending Allowance,0 days 00:00:08.000000000,Solve,0 days 00:01:03.630000000,Stop Record,-,,2021-04-29 21:21:23+00:00
168366,217948,9939,Spending Allowance,0 days 00:00:00.000000000,Solve,0 days 00:01:03.630000000,Audio Recording Stopped,-,,2021-04-29 21:21:23+00:00
168366,217948,9939,Spending Allowance,0 days 00:00:00.000000000,Solve,0 days 00:01:03.630000000,Audio Data Available,-,,2021-04-29 21:21:23+00:00
168366,217948,9939,Spending Allowance,0 days 00:00:11.000000000,Solve,0 days 00:01:14.630000000,Start Record,-,,2021-04-29 21:21:34+00:00
168366,217948,9939,Spending Allowance,0 days 00:00:01.000000000,Solve,0 days 00:01:15.630000000,Audio Recording Started,-,,2021-04-29 21:21:35+00:00
168366,217948,9939,Spending Allowance,0 days 00:00:26.000000000,Solve,0 days 00:01:41.630000000,Pause Record,-,,2021-04-29 21:22:01+00:00
168366,217948,9939,Spending Allowance,0 days 00:00:00.000000000,Solve,0 days 00:01:41.630000000,Audio Recording Paused,-,,2021-04-29 21:22:01+00:00
168366,217948,9939,Spending Allowance,0 days 00:00:14.000000000,Solve,0 days 00:01:55.630000000,Stop Record,-,,2021-04-29 21:22:15+00:00
168366,217948,9939,Spending Allowance,0 days 00:00:00.000000000,Solve,0 days 00:01:55.630000000,Audio Recording Stopped,-,,2021-04-29 21:22:15+00:00
168366,217948,9939,Spending Allowance,0 days 00:00:00.000000000,Solve,0 days 00:01:55.630000000,Audio Data Available,-,,2021-04-29 21:22:15+00:00
168366,217948,9939,Spending Allowance,,Review,0 days 00:01:55.630000000,Final Answer,Entered,My Final Answer is 18,
168366,217948,9939,Spending Allowance,,End,0 days 00:01:55.630000000,Complete Thinklet,,,2021-04-29 21:22:46.734000+00:00
