user_id,thinklet_id,problem_id,assignment_name,duration,phase,time so far,event,action,answer,time
168382,217576,9939,Spending Allowance,,Start,,Create Thinklet,,,2021-04-27 21:12:01.576000+00:00
168382,217576,9939,Spending Allowance,,Understand,,known,Entered,I notice that this problem is adding and subtracting.,
168382,217576,9939,Spending Allowance,,Understand,,wondering,Entered,i wonder if he bought more stuff that he has left.,
168382,217576,9939,Spending Allowance,,Understand,,Estimate,Entered,I think its 15,2021-04-27 21:15:16.500000+00:00
168382,217576,9939,Spending Allowance,,Plan,,strategies,Selected,Write an expression,
168382,217576,9939,Spending Allowance,,Plan,,strategies,Selected,Use direction arrows when adding and subtracting,
168382,217576,9939,Spending Allowance,,Plan,,write down the plan,Entered,I'm planning to subtract what he bought for 20$ then adding 8 to what I get when I get the answer of the subtracting.,2021-04-27 21:16:46.090000+00:00
168382,217576,9939,Spending Allowance,0 days 00:12:30.910000000,Solve,0 days 00:12:30.910000000,Start Record,-,,2021-04-27 21:29:17+00:00
168382,217576,9939,Spending Allowance,0 days 00:00:00.000000000,Solve,0 days 00:12:30.910000000,Audio Recording Started,-,,2021-04-27 21:29:17+00:00
168382,217576,9939,Spending Allowance,0 days 00:00:27.000000000,Solve,0 days 00:12:57.910000000,Pause Record,-,,2021-04-27 21:29:44+00:00
168382,217576,9939,Spending Allowance,0 days 00:00:00.000000000,Solve,0 days 00:12:57.910000000,Audio Recording Paused,-,,2021-04-27 21:29:44+00:00
168382,217576,9939,Spending Allowance,0 days 00:00:13.000000000,Solve,0 days 00:13:10.910000000,Resume Record,-,,2021-04-27 21:29:57+00:00
168382,217576,9939,Spending Allowance,0 days 00:00:00.000000000,Solve,0 days 00:13:10.910000000,Audio Recording Resumed,,,2021-04-27 21:29:57+00:00
168382,217576,9939,Spending Allowance,0 days 00:00:04.000000000,Solve,0 days 00:13:14.910000000,Audio Recording Paused,-,,2021-04-27 21:30:01+00:00
168382,217576,9939,Spending Allowance,0 days 00:00:00.000000000,Solve,0 days 00:13:14.910000000,Pause Record,-,,2021-04-27 21:30:01+00:00
168382,217576,9939,Spending Allowance,0 days 00:00:35.000000000,Solve,0 days 00:13:49.910000000,Stop Record,-,,2021-04-27 21:30:36+00:00
168382,217576,9939,Spending Allowance,0 days 00:00:00.000000000,Solve,0 days 00:13:49.910000000,Audio Recording Stopped,-,,2021-04-27 21:30:36+00:00
168382,217576,9939,Spending Allowance,0 days 00:00:00.000000000,Solve,0 days 00:13:49.910000000,Audio Data Available,-,,2021-04-27 21:30:36+00:00
168382,217576,9939,Spending Allowance,0 days 00:01:11.000000000,Solve,0 days 00:15:00.910000000,Start Record,-,,2021-04-27 21:31:47+00:00
168382,217576,9939,Spending Allowance,0 days 00:00:07.000000000,Solve,0 days 00:15:07.910000000,Audio Recording Started,-,,2021-04-27 21:31:54+00:00
168382,217576,9939,Spending Allowance,0 days 00:00:37.000000000,Solve,0 days 00:15:44.910000000,Stop Record,-,,2021-04-27 21:32:31+00:00
168382,217576,9939,Spending Allowance,0 days 00:00:00.000000000,Solve,0 days 00:15:44.910000000,Audio Recording Stopped,-,,2021-04-27 21:32:31+00:00
168382,217576,9939,Spending Allowance,0 days 00:00:00.000000000,Solve,0 days 00:15:44.910000000,Audio Data Available,-,,2021-04-27 21:32:31+00:00
168382,217576,9939,Spending Allowance,,Review,0 days 00:15:44.910000000,math_checklist,Selected,DOES_MY_ANSWER_MAKE_SENSE,
168382,217576,9939,Spending Allowance,,Review,0 days 00:15:44.910000000,math_checklist,Selected,DID_I_INCLUDE_UNITS,
168382,217576,9939,Spending Allowance,,Review,0 days 00:15:44.910000000,math_checklist,Selected,DID_I_CHECK_MY_WORK,
168382,217576,9939,Spending Allowance,,Review,0 days 00:15:44.910000000,math_checklist,Selected,COULD_SOMEONE_SEE_HOW_I_FOUND_MY_ANSWER,
168382,217576,9939,Spending Allowance,,Review,0 days 00:15:44.910000000,recording_checklist,Selected,My voice is loud and clear,
168382,217576,9939,Spending Allowance,,Review,0 days 00:15:44.910000000,recording_checklist,Selected,My writing is clear,
168382,217576,9939,Spending Allowance,,Review,0 days 00:15:44.910000000,recording_checklist,Selected,There is no distracting background noise,
168382,217576,9939,Spending Allowance,,Review,0 days 00:15:44.910000000,Final Answer,Entered,my final answer is 15,
168382,217576,9939,Spending Allowance,,End,0 days 00:15:44.910000000,Complete Thinklet,,,2021-04-27 21:38:41.727000+00:00
